Région,Territoire,Nombre de sièges CCIT actuels,Nombre de femmes CCIT  actuelles,Taux de féminisation,Adresse,Coordonnées,Genre Président,Genre Directeur général
Nord Pas de Calais,Hainaut,42,7,17 %,3 avenue Sénateur Girard BP 80577 59308 VALENCIENNES CEDEX,50.361282. 3.5174,H,H
Rhône Alpes,Ain,36,2,6 %,1 rue Joseph Bernier CS 60048 01002 BOURG-EN-BRESSE,46.202923. 5.22163,H,H
Picardie,Oise,42,3,7 %,Pont de Paris BP 60250 60002 BEAUVAIS,49.426722. 2.081183,H,H
Bretagne,St-Malo-Fougères,50,7,14 %,4 avenue Louis Martin CS 61714 35417 SAINT MALO,48.647452. -2.008923,H,H
Basse Normandie,Alençon,26,4,15 %,12 place du Palais BP 42 61002 ALENCON,48.431058. 0.088429,H,H
Basse Normandie,Flers,24,6,25 %,Aérodrome de Flers St Paul route de Granville BP 159 61103 FLERS CEDEX,48.750059.-0.575794,H,H
Nord Pas de Calais,Artois,60,6,10 %,87/89 rue Saint-Aubert BP 540 62008 ARRAS,50.292015. 2.769624,H,H
Nord Pas de Calais,Côte-d'Opale,60,13,22 %,24 Boulevard des Alliés BP 199 62104 CALAIS,50.960891. 1.850729,H,H
Auvergne,Puy-de-Dôme,60,6,10 %,148 Boulevard Lavoisier 63037 CLERMONT-FERRAND,45.782689. 3.073678,H,H
Aquitaine,Pau,40,7,18 %,21 rue Louis Barthou 64000 PAU,43.294421. -0.368965,H,H
Aquitaine,Bayonne,36,9,25 %,50-51 allées Marines BP 215 64102 BAYONNE,43.498339. -1.490305,H,H
Midi Pyrenées,Tarbes,40,8,20 %,1 rue des Evadés de France Centre Kennedy BP 350 65003 TARBES,43.21781. 0.086022,H,H
Languedoc Roussillon,Perpignan,32,5,16 %,Quai De Lattre De Tassigny BP 10941 66020 PERPIGNAN CEDEX,42.697693. 2.890766,H,H
Alsace,Strasbourg ,54,12,22 %,10 Place Gutenberg 67081 STRASBOURG,48.58124. 7.748143,H,F
Alsace,Colmar,54,5,9 %,1 place de la Gare CS 40 007 68001 COLMAR,48.073533. 7.348464,F,H
Alsace,Mulhouse,54,7,13 %,8 rue du 17 Novembre BP 1088 68051 MULHOUSE,47.743243. 7.341117,H,H
Rhône Alpes,Lyon,50,4,8 %,Place de la Bourse 69289 LYON,45.764997. 4.836879,H,H
Rhône Alpes,Villefranche-en-Bresse,30,5,17 %,317 boulevard Gambetta CS 70427 69654 VILLEFRANCHE-SUR-SAONE,45.992596. 4.7151,H,H
Franche Comté,Haute-Saône,28,1,4 %,27 avenue Aristide-Briand BP 90019 70000 VESOUL CEDEX 70001,47.623463. 6.162257,H,H
Lorraine,Moselle,35,5,14 %,10-12 avenue Foch BP 70330 57016 METZ,49.11185. 6.172728,H,F
Bourgogne,Saône-et-Loire,50,5,10 %,Place Gérard Genevès BP 531 71010 MACON,46.301795. 4.830438,H,H
Pays de la Loire,Le Mans,36,8,22 %,1 Boulevard René Levasseur BP 22385 72002 LE MANS,48.003361. 0.197618,H,H
Picardie,Amiens,38,2,5 %,6 boulevard de Belfort CS 73902 80039 AMIENS,49.890061. 2.305595,H,H
Rhône Alpes,Savoie,36,3,8 %,5 rue Salteur 73024 CHAMBERY,45.566983. 5.92366,H,F
Rhône Alpes,Haute-Savoie,40,7,18 %,5 rue du 27ème BCA CS 62072 74000 ANNECY CEDEX,45.908492. 6.125172,H,F
Paris Ile de France,Paris Ile de France,60,9,15 %,46 Avenue de la Grande Armée CS 50071 75858 PARIS,"48.876286. 2.287809
",H,H
Haute Normandie,Dieppe,30,2,7 %,2 - 4 Boulevard Général de Gaulle CS 20462 76202 DIEPPE CEDEX,49.923647. 1.080986,H,H
Haute Normandie,Rouen,42,3,7 %,10 quai de la Bourse Palais des Consuls CS 40641 76007 ROUEN,49.4388. 1.090058,H,F
Haute Normandie,Fécamp-Bolbec,34,3,9 %,8 rue Bailly BP 126 76403 FECAMP,49.756843. 0.377692,H,H
Haute Normandie,Elbeuf,24,3,13 %,28 rue Henry BP 410 76504 ELBEUF,49.290891. 1.00767,H,H
Haute Normandie,Le Havre,42,6,14 %,Esplanade de l'Europe BP 1410 76067 LE HAVRE,49.491991. 0.131492,H,H
Poitou Charentes,Deux-Sèvres,60,4,7 %,10 place du Temple BP 90314 79003 NIORT,46.323187. -0.461123,H,H
Picardie,Littoral Normand-Picard,40,4,10 %,20 rue Chevalier de la Barre 80142 ABBEVILLE,50.105832. 1.829604,H,H
Midi Pyrenées,Tarn,36,8,22 %,40 allée Alphonse Juin BP 30217 81100 CASTRES CEDEX,43.600393. 2.239518,H,H
Midi Pyrenées,Montauban,28,3,11 %,22 allées de Mortarieu BP 527 82065 MONTAUBAN,44.014196. 1.355204,H,F
Provence Alpes Côte d’Azur,Var,46,12,26 %,236 Boulevard du Maréchal Leclerc CS90008 83107 TOULON,43.107634. 6.018109,H,H
Provence Alpes Côte d’Azur,Vaucluse,34,6,18 %,46 cours Jean-Jaurès BP 158 84008 AVIGNON,43.943664. 4.805326,H,H
Pays de la Loire,Vendée,36,3,8 %,16 rue Olivier de Clisson CS 10049 85002 LA ROCHE-SUR-YON,46.657646. -1.429573,H,H
Poitou Charentes,Vienne,36,9,25 %,7 Avenue du Tour de France CHASSENEUIL Téléport 1 CS 50146 86961 FUTUROSCOPE,46.669857. 0.369758,H,H
Limousin,Limoges,36,5,14 %,16 place Jourdan BP 403 87011 LIMOGES,45.831783. 1.265117,H,H
Lorraine,Vosges,30,7,23 %,10 rue Claude Gelée 88026 EPINAL,48.173488. 6.450804,H,H
Bourgogne,Yonne,36,6,17 %,26 rue Etienne Dolet 89015 AUXERRE,47.798254. 3.577618,H,H
Franche Comté,Belfort,30,5,17 %,1 rue du Docteur Fréry BP 199 90004 BELFORT,47.617481. 6.86182,H,H
