Année,Diplôme,situation,Genre,Disciplines,Code du domaine,Domaine,Code de la discipline,Discipline,Sigle,Spécialité,Nombre de réponses,Taux d'insertion,Part des emplois de niveau cadre ou profession intermédiaire,Part des emplois de niveau cadre,Part des emplois stables,Part des emplois à temps plein,Salaire net mensuel médian des emplois à temps plein,Salaire brut annuel estimé,Premier quartile des salaires nets mensuels des emplois à temps plein,Dernier quartile des salaires nets mensuels des emplois à temps plein,Part des emplois situés en dehors de la région (y compris à l'étranger),Part des diplômés boursiers dans la discipline,Part des femmes,Taux de chômage national,Salaire net mensuel médian national,Code du secteur disciplinaire SISE,Salaire net mensuel national 1er quartile,Salaire net mensuel national 3ème quartile,cle_DISC,Prof. libérale. indépendant. chef d’entreprise,Fonctionnaire,statut_cdi,statut_conspe,CDD,Vacataire,Intérimaire,Intermittent du spectacle,Contrat de professionnalisa tion,Emplois aidés (Contrat Initiative Emploi…),Volontariat international,Vous-même,La fonction publique (d'etat. territoriale ou hospitalière),Une entreprise privée,Une entreprise publique,Une association,Une personne exerçant une profession libérale ou un indépendant,Un particulier,Agriculture. sylviculture et pêche,Industries (manufacturières.  extractives et autres),Construction,Commerce. transports. héberg-ement et restauration,Information et communication,Activités financières et d’assurance,Activités spécialisées. scientifiques et techniques,Activités de services administratifs et de soutien,Enseignement,Administra tion publique (hors ens.),Santé humaine et action sociale,Arts. spectacles et activités récréatives,Autres activités de service,Personnel de catégorie A de la fonction publique,Ingénieur. cadre. prof. libérales. prof. intellectuelles sup,Personnel de catégorie B de la fonction publique,Emploi de niveau intermédiaire : technicien. agent de maîtrise…,Personnel de catégorie C de la fonction publique,Manœuvre. ouvrier,Employé de bureau. de commerce. personnel de service
2013,DUT,18 mois après le diplôme,hommes,Sciences. technologies et santé>Sciences de l'ingénieur>Sciences et génie des matériaux,STS,Sciences. technologies et santé,disc15,Sciences de l'ingénieur,SGM,Sciences et génie des matériaux,7,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,,9.9,1870,,1490,2280,SGM_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,DUT,18 mois après le diplôme,femmes,Sciences. technologies et santé>Sciences de l'ingénieur>Sciences et génie des matériaux,STS,Sciences. technologies et santé,disc15,Sciences de l'ingénieur,SGM,Sciences et génie des matériaux,2,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,,9.9,1870,,1490,2280,SGM_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,DUT,18 mois après le diplôme,hommes,Sciences. technologies et santé>Sciences de l'ingénieur>Génie thermique et énergie,STS,Sciences. technologies et santé,disc15,Sciences de l'ingénieur,GTE,Génie thermique et énergie,20,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,,9.9,1870,,1490,2280,GTE_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,DUT,18 mois après le diplôme,hommes,Droit. économie et gestion>Gestion>Statistique et informatique décisionnelle,DEG,Droit. économie et gestion,disc04,Gestion,STID,Statistique et informatique décisionnelle,3,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,,9.9,1870,,1490,2280,STID_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,DUT,18 mois après le diplôme,femmes,Sciences. technologies et santé>Informatique>Réseaux et télécommunications,STS,Sciences. technologies et santé,disc16,Informatique,R&T,Réseaux et télécommunications,1,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,,9.9,1870,,1490,2280,R&T_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,DUT,30 mois après le diplôme,femmes,Sciences. technologies et santé>Sciences fondamentales>Mesures physiques,STS,Sciences. technologies et santé,disc14,Sciences fondamentales,MP,Mesures physiques,16,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,,9.9,1870,,1490,2280,MP_30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,DUT,18 mois après le diplôme,hommes,Sciences. technologies et santé>Sciences de l'ingénieur>Génie industriel et maintenance,STS,Sciences. technologies et santé,disc15,Sciences de l'ingénieur,GIM,Génie industriel et maintenance,36,83,76,6,46,100,ns,ns,ns,ns,27,44,,9.9,1870,,1490,2280,GIM_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,DUT,30 mois après le diplôme,femmes,Sciences. technologies et santé>Sciences de l'ingénieur>Génie mécanique et productique,STS,Sciences. technologies et santé,disc15,Sciences de l'ingénieur,GMP,Génie mécanique et productique,12,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,,9.9,1870,,1490,2280,GMP_30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,DUT,18 mois après le diplôme,femmes,Sciences. technologies et santé>Sciences de l'ingénieur>Génie mécanique et productique,STS,Sciences. technologies et santé,disc15,Sciences de l'ingénieur,GMP,Génie mécanique et productique,12,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,,9.9,1870,,1490,2280,GMP_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,DUT,18 mois après le diplôme,hommes,Sciences. technologies et santé>Sciences de la vie et de la terre>Génie biologique,STS,Sciences. technologies et santé,disc13,Sciences de la vie et de la terre,GB,Génie biologique,42,93,77,13,44,98,1400,21800,ns,ns,28,30,,9.9,1870,,1490,2280,GB_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
