Année,Diplôme,situation,Genre,Disciplines,Code du domaine,Domaine,Code de la discipline,Discipline,Sigle,Spécialité,Nombre de réponses,Taux d'insertion,Part des emplois de niveau cadre ou profession intermédiaire,Part des emplois de niveau cadre,Part des emplois stables,Part des emplois à temps plein,Salaire net mensuel médian des emplois à temps plein,Salaire brut annuel estimé,Premier quartile des salaires nets mensuels des emplois à temps plein,Dernier quartile des salaires nets mensuels des emplois à temps plein,Part des emplois situés en dehors de la région (y compris à l'étranger),Part des diplômés boursiers dans la discipline,Part des femmes,Taux de chômage national,Salaire net mensuel médian national,Code du secteur disciplinaire SISE,Salaire net mensuel national 1er quartile,Salaire net mensuel national 3ème quartile,cle_DISC,Prof. libérale. indépendant. chef d’entreprise,Fonctionnaire,statut_cdi,statut_conspe,CDD,Vacataire,Intérimaire,Intermittent du spectacle,Contrat de professionnalisa tion,Emplois aidés (Contrat Initiative Emploi…),Volontariat international,Vous-même,La fonction publique (d'etat. territoriale ou hospitalière),Une entreprise privée,Une entreprise publique,Une association,Une personne exerçant une profession libérale ou un indépendant,Un particulier,Agriculture. sylviculture et pêche,Industries (manufacturières.  extractives et autres),Construction,Commerce. transports. héberg-ement et restauration,Information et communication,Activités financières et d’assurance,Activités spécialisées. scientifiques et techniques,Activités de services administratifs et de soutien,Enseignement,Administra tion publique (hors ens.),Santé humaine et action sociale,Arts. spectacles et activités récréatives,Autres activités de service,Personnel de catégorie A de la fonction publique,Ingénieur. cadre. prof. libérales. prof. intellectuelles sup,Personnel de catégorie B de la fonction publique,Emploi de niveau intermédiaire : technicien. agent de maîtrise…,Personnel de catégorie C de la fonction publique,Manœuvre. ouvrier,Employé de bureau. de commerce. personnel de service
2013,DUT,30 mois après le diplôme,hommes,Sciences. technologies et santé>Sciences de l'ingénieur>Génie mécanique et productique,STS,Sciences. technologies et santé,disc15,Sciences de l'ingénieur,GMP,Génie mécanique et productique,85,92,71,5,76,97,1660,25900,1450,2100,34,32,,9.9,1870,,1490,2280,GMP_30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,DUT,18 mois après le diplôme,hommes,Sciences. technologies et santé>Sciences de l'ingénieur>Génie mécanique et productique,STS,Sciences. technologies et santé,disc15,Sciences de l'ingénieur,GMP,Génie mécanique et productique,85,83,75,7,67,98,1600,25000,1380,1770,34,32,,9.9,1870,,1490,2280,GMP_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,DUT,30 mois après le diplôme,femmes et hommes,Sciences. technologies et santé>Sciences de la vie et de la terre>Hygiène. sécurité. environnement,STS,Sciences. technologies et santé,disc13,Sciences de la vie et de la terre,HSE,Hygiène. sécurité. environnement,31,94,ns,ns,ns,ns,ns,ns,ns,ns,ns,18,23,9.9,1870,,1490,2280,HSE_30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,DUT,30 mois après le diplôme,femmes et hommes,Droit. économie et gestion>Gestion>Statistique et informatique décisionnelle,DEG,Droit. économie et gestion,disc04,Gestion,STID,Statistique et informatique décisionnelle,7,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,9.9,1870,,1490,2280,STID_30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,DUT,30 mois après le diplôme,hommes,Sciences. technologies et santé>Sciences de la vie et de la terre>Hygiène. sécurité. environnement,STS,Sciences. technologies et santé,disc13,Sciences de la vie et de la terre,HSE,Hygiène. sécurité. environnement,24,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,,9.9,1870,,1490,2280,HSE_30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,DUT,30 mois après le diplôme,femmes,Sciences. technologies et santé>Sciences de l'ingénieur>Sciences et génie des matériaux,STS,Sciences. technologies et santé,disc15,Sciences de l'ingénieur,SGM,Sciences et génie des matériaux,2,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,,9.9,1870,,1490,2280,SGM_30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,DUT,18 mois après le diplôme,femmes,Sciences. technologies et santé>Sciences de l'ingénieur>Génie thermique et énergie,STS,Sciences. technologies et santé,disc15,Sciences de l'ingénieur,GTE,Génie thermique et énergie,0,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,,9.9,1870,,1490,2280,GTE_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,DUT,30 mois après le diplôme,hommes,Droit. économie et gestion>Gestion>Statistique et informatique décisionnelle,DEG,Droit. économie et gestion,disc04,Gestion,STID,Statistique et informatique décisionnelle,3,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,,9.9,1870,,1490,2280,STID_30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,DUT,18 mois après le diplôme,femmes,Droit. économie et gestion>Gestion>Techniques de commercialisation,DEG,Droit. économie et gestion,disc04,Gestion,TC,Techniques de commercialisation,183,83,23,4,69,80,1300,20300,1200,1500,21,34,,9.9,1870,,1490,2280,TC_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,DUT,18 mois après le diplôme,hommes,Droit. économie et gestion>Gestion>Techniques de commercialisation,DEG,Droit. économie et gestion,disc04,Gestion,TC,Techniques de commercialisation,162,77,38,9,71,92,1520,23700,1270,1850,33,30,,9.9,1870,,1490,2280,TC_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,DUT,30 mois après le diplôme,femmes et hommes,Sciences. technologies et santé>Informatique>Informatique,STS,Sciences. technologies et santé,disc16,Informatique,,Informatique,107,87,78,32,85,97,1700,26500,1460,1940,30,41,6,9.9,1870,,1490,2280,_30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,DUT,18 mois après le diplôme,femmes,Sciences humaines et sociales>Information communication>Services et réseaux de communication,SHS,Sciences humaines et sociales,disc10,Information communication,,Services et réseaux de communication,26,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,,9.9,1870,,1490,2280,_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,DUT,30 mois après le diplôme,femmes,Sciences humaines et sociales>Information communication>Information-Communication,SHS,Sciences humaines et sociales,disc10,Information communication,,Information-Communication,107,88,43,10,56,84,1370,21400,1260,1520,28,37,,9.9,1870,,1490,2280,_30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,DUT,30 mois après le diplôme,hommes,Sciences humaines et sociales>Information communication>Information-Communication,SHS,Sciences humaines et sociales,disc10,Information communication,,Information-Communication,22,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,,9.9,1870,,1490,2280,_30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,DUT,18 mois après le diplôme,hommes,Sciences humaines et sociales>Information communication>Information-Communication,SHS,Sciences humaines et sociales,disc10,Information communication,,Information-Communication,22,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,,9.9,1870,,1490,2280,_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,DUT,30 mois après le diplôme,hommes,Sciences. technologies et santé>Informatique>Informatique,STS,Sciences. technologies et santé,disc16,Informatique,,Informatique,100,88,78,31,87,97,1700,26500,1480,1940,27,44,,9.9,1870,,1490,2280,_30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,DUT,18 mois après le diplôme,hommes,Droit. économie et gestion>Droit>Carrières juridiques,DEG,Droit. économie et gestion,disc02,Droit,,Carrières juridiques,5,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,,9.9,1870,,1490,2280,_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,DUT,30 mois après le diplôme,femmes et hommes,Sciences. technologies et santé>Ensemble sciences. technologies et santé>Ensemble sciences. technologies et santé,STS,Sciences. technologies et santé,disc12,Ensemble sciences. technologies et santé,disc12,Ensemble sciences. technologies et santé,949,91,80,10,72,96,1580,24700,1400,1850,30,32,25,9.9,1870,,1490,2280,disc12_30,2,5,65,,18,0,7,0,1,0,0,2,14,12,70,1,0,0,2,36,8,9,11,1,9,1,2,6,8,1,5,2,8,6,64,2,8,10
2013,DUT,18 mois après le diplôme,femmes et hommes,Sciences. technologies et santé>Sciences de la vie et de la terre>Sciences de la vie et de la terre,STS,Sciences. technologies et santé,disc13,Sciences de la vie et de la terre,disc13,Sciences de la vie et de la terre,203,88,79,7,53,92,1400,21900,1300,1600,28,34,67,9.9,1870,,1490,2280,disc13_18,4,10,40,,40,0,4,0,1,0,0,,,,,,,,,,,,,,,,,,,,,2,5,14,59,4,4,12
2013,DUT,18 mois après le diplôme,femmes,Droit. économie et gestion>Ensemble formations juridiques. économiques et de gestion>Ensemble formations juridiques. économiques et de gestion,DEG,Droit. économie et gestion,disc01,Ensemble formations juridiques. économiques et de gestion,disc01,Ensemble formations juridiques. économiques et de gestion,423,82,24,4,62,85,1330,20700,1200,1500,21,37,,9.9,1870,,1490,2280,disc01_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,DUT,30 mois après le diplôme,hommes,Sciences. technologies et santé>Ensemble sciences. technologies et santé>Ensemble sciences. technologies et santé,STS,Sciences. technologies et santé,disc12,Ensemble sciences. technologies et santé,disc12,Ensemble sciences. technologies et santé,686,91,80,10,76,97,1630,25400,1400,1900,29,30,,9.9,1870,,1490,2280,disc12_30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,DUT,30 mois après le diplôme,hommes,Sciences humaines et sociales>Ensemble sciences humaines et sociales>Ensemble sciences humaines et sociales,SHS,Sciences humaines et sociales,disc07,Ensemble sciences humaines et sociales,disc07,Ensemble sciences humaines et sociales,115,84,58,18,67,85,1430,22400,1270,1670,39,40,,9.9,1870,,1490,2280,disc07_30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,DUT,18 mois après le diplôme,hommes,Sciences humaines et sociales>Autres sciences humaines et sociales>Carrières sociales,SHS,Sciences humaines et sociales,disc11,Autres sciences humaines et sociales,CS,Carrières sociales,29,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,,9.9,1870,,1490,2280,CS_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,DUT,30 mois après le diplôme,hommes,Sciences humaines et sociales>Autres sciences humaines et sociales>Carrières sociales,SHS,Sciences humaines et sociales,disc11,Autres sciences humaines et sociales,CS,Carrières sociales,29,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,,9.9,1870,,1490,2280,CS_30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,DUT,30 mois après le diplôme,femmes et hommes,Sciences. technologies et santé>Sciences de l'ingénieur>Aide et assistance pour le monitoring et le maintien à domicile,STS,Sciences. technologies et santé,disc15,Sciences de l'ingénieur,2A2M,Aide et assistance pour le monitoring et le maintien à domicile,6,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,9.9,1870,,1490,2280,2A2M_30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,DUT,18 mois après le diplôme,hommes,Sciences. technologies et santé>Sciences de l'ingénieur>Aide et assistance pour le monitoring et le maintien à domicile,STS,Sciences. technologies et santé,disc15,Sciences de l'ingénieur,2A2M,Aide et assistance pour le monitoring et le maintien à domicile,1,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,,9.9,1870,,1490,2280,2A2M_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,DUT,30 mois après le diplôme,femmes,Sciences. technologies et santé>Sciences de l'ingénieur>Aide et assistance pour le monitoring et le maintien à domicile,STS,Sciences. technologies et santé,disc15,Sciences de l'ingénieur,2A2M,Aide et assistance pour le monitoring et le maintien à domicile,5,ns,ns,ns,ns,ns,nd,nd,nd,nd,ns,ns,,9.9,1870,,1490,2280,2A2M_30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,DUT,30 mois après le diplôme,hommes,Sciences. technologies et santé>Sciences de l'ingénieur>Aide et assistance pour le monitoring et le maintien à domicile,STS,Sciences. technologies et santé,disc15,Sciences de l'ingénieur,2A2M,Aide et assistance pour le monitoring et le maintien à domicile,1,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,,9.9,1870,,1490,2280,2A2M_30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,DUT,18 mois après le diplôme,femmes et hommes,Droit. économie et gestion>Droit>Carrières juridiques,DEG,Droit. économie et gestion,disc02,Droit,,Carrières juridiques,21,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,9.9,1870,,1490,2280,_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,DUT,30 mois après le diplôme,femmes,Sciences. technologies et santé>Sciences fondamentales>Chimie,STS,Sciences. technologies et santé,disc14,Sciences fondamentales,,Chimie,42,81,84,6,53,97,1530,23900,ns,ns,42,36,,9.9,1870,,1490,2280,_30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,DUT,18 mois après le diplôme,hommes,Sciences. technologies et santé>Informatique>Informatique,STS,Sciences. technologies et santé,disc16,Informatique,,Informatique,100,84,78,28,86,96,1500,23400,1300,1650,27,44,,9.9,1870,,1490,2280,_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,DUT,30 mois après le diplôme,femmes et hommes,Droit. économie et gestion>Ensemble formations juridiques. économiques et de gestion>Ensemble formations juridiques. économiques et de gestion,DEG,Droit. économie et gestion,disc01,Ensemble formations juridiques. économiques et de gestion,disc01,Ensemble formations juridiques. économiques et de gestion,759,90,35,6,70,91,1450,22600,1250,1730,25,35,55,9.9,1870,,1490,2280,disc01_30,3,4,63,,22,1,5,0,1,1,0,4,11,8,71,4,1,1,1,11,1,40,4,12,4,2,2,8,5,2,8,1,6,3,25,4,5,56
2013,DUT,30 mois après le diplôme,femmes et hommes,Sciences. technologies et santé>Sciences de l'ingénieur>Sciences de l'ingénieur,STS,Sciences. technologies et santé,disc15,Sciences de l'ingénieur,disc15,Sciences de l'ingénieur,456,92,79,8,76,97,1630,25400,1400,1900,27,29,12,9.9,1870,,1490,2280,disc15_30,2,4,70,,14,0,9,0,1,0,0,2,8,16,73,0,0,1,2,47,14,10,3,0,8,2,2,4,0,2,6,1,7,4,66,2,11,8
2013,DUT,18 mois après le diplôme,femmes et hommes,Sciences humaines et sociales>Information communication>Sciences de l'information et la communication,SHS,Sciences humaines et sociales,disc10,Information communication,disc10,Sciences de l'information et la communication,220,79,42,10,58,75,1310,20400,1200,1520,32,42,63,9.9,1870,SD35,1490,2280,disc10_18,10,10,43,,28,0,4,0,0,5,0,,,,,,,,,,,,,,,,,,,,,1,10,12,20,14,7,35
2013,DUT,18 mois après le diplôme,femmes et hommes,Droit. économie et gestion>Gestion>Sciences de gestion,DEG,Droit. économie et gestion,disc04,Gestion,disc04,Sciences de gestion,697,79,31,4,64,89,1400,21800,1200,1650,22,35,55,9.9,1870,SD39,1490,2280,disc04_18,3,3,60,,27,0,6,0,0,1,0,,,,,,,,,,,,,,,,,,,,,0,5,1,25,4,3,62
2013,DUT,18 mois après le diplôme,femmes et hommes,Droit. économie et gestion>Autres formations juridiques. économiques et de gestion>Gestion administrative et commerciale,DEG,Droit. économie et gestion,disc05,Autres formations juridiques. économiques et de gestion,GAC,Gestion administrative et commerciale,41,74,ns,ns,ns,ns,ns,ns,ns,ns,19,37,65,9.9,1870,,1490,2280,GAC_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,DUT,30 mois après le diplôme,hommes,Droit. économie et gestion>Ensemble formations juridiques. économiques et de gestion>Ensemble formations juridiques. économiques et de gestion,DEG,Droit. économie et gestion,disc01,Ensemble formations juridiques. économiques et de gestion,disc01,Ensemble formations juridiques. économiques et de gestion,334,90,44,7,71,95,1560,24300,1300,1800,30,32,,9.9,1870,,1490,2280,disc01_30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,DUT,18 mois après le diplôme,femmes,Droit. économie et gestion>Autres formations juridiques. économiques et de gestion>Gestion administrative et commerciale,DEG,Droit. économie et gestion,disc05,Autres formations juridiques. économiques et de gestion,GAC,Gestion administrative et commerciale,24,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,,9.9,1870,,1490,2280,GAC_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,DUT,18 mois après le diplôme,hommes,Sciences humaines et sociales>Ensemble sciences humaines et sociales>Ensemble sciences humaines et sociales,SHS,Sciences humaines et sociales,disc07,Ensemble sciences humaines et sociales,disc07,Ensemble sciences humaines et sociales,115,83,51,12,60,81,1410,22000,1200,1630,39,40,,9.9,1870,,1490,2280,disc07_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,DUT,30 mois après le diplôme,hommes,Ensemble des départements d'IUT>Ensemble des départements d'IUT>Ensemble des départements d'IUT,ALL,Ensemble des départements d'IUT,disc00,Ensemble des départements d'IUT,disc00,Ensemble des départements d'IUT,1135,90,66,10,73,95,1600,25000,1350,1850,30,32,,9.9,1870,,1490,2280,disc00_30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,DUT,18 mois après le diplôme,femmes,Sciences humaines et sociales>Autres sciences humaines et sociales>Carrières sociales,SHS,Sciences humaines et sociales,disc11,Autres sciences humaines et sociales,CS,Carrières sociales,97,78,47,11,35,59,1300,20300,ns,ns,36,49,,9.9,1870,,1490,2280,CS_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,DUT,18 mois après le diplôme,femmes et hommes,Sciences. technologies et santé>Sciences de l'ingénieur>Génie chimique - Génie des procédés,STS,Sciences. technologies et santé,disc15,Sciences de l'ingénieur,GCGP,Génie chimique - Génie des procédés,25,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,9.9,1870,,1490,2280,GCGP_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,DUT,30 mois après le diplôme,femmes et hommes,Droit. économie et gestion>Gestion>Gestion des entreprises et administrations,DEG,Droit. économie et gestion,disc04,Gestion,GEA,Gestion des entreprises et administrations,241,92,35,5,70,91,1410,22000,1230,1640,21,40,63,9.9,1870,,1490,2280,GEA_30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,DUT,30 mois après le diplôme,hommes,Sciences. technologies et santé>Sciences de l'ingénieur>Génie électrique et informatique industrielle,STS,Sciences. technologies et santé,disc15,Sciences de l'ingénieur,GEII,Génie électrique et informatique industrielle,119,90,87,9,79,96,1630,25400,1460,1830,23,24,,9.9,1870,,1490,2280,GEII_30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,DUT,30 mois après le diplôme,femmes,Sciences. technologies et santé>Sciences de l'ingénieur>Génie électrique et informatique industrielle,STS,Sciences. technologies et santé,disc15,Sciences de l'ingénieur,GEII,Génie électrique et informatique industrielle,6,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,,9.9,1870,,1490,2280,GEII_30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,DUT,18 mois après le diplôme,femmes et hommes,Sciences. technologies et santé>Sciences de l'ingénieur>Génie industriel et maintenance,STS,Sciences. technologies et santé,disc15,Sciences de l'ingénieur,GIM,Génie industriel et maintenance,36,83,76,6,46,100,ns,ns,ns,ns,27,44,,9.9,1870,,1490,2280,GIM_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,DUT,18 mois après le diplôme,femmes,Sciences. technologies et santé>Sciences de l'ingénieur>Génie chimique - Génie des procédés,STS,Sciences. technologies et santé,disc15,Sciences de l'ingénieur,GCGP,Génie chimique - Génie des procédés,9,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,,9.9,1870,,1490,2280,GCGP_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,DUT,30 mois après le diplôme,femmes,Sciences. technologies et santé>Sciences de l'ingénieur>Génie chimique - Génie des procédés,STS,Sciences. technologies et santé,disc15,Sciences de l'ingénieur,GCGP,Génie chimique - Génie des procédés,9,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,,9.9,1870,,1490,2280,GCGP_30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,DUT,18 mois après le diplôme,femmes,Droit. économie et gestion>Gestion>Gestion des entreprises et administrations,DEG,Droit. économie et gestion,disc04,Gestion,GEA,Gestion des entreprises et administrations,152,85,24,3,60,90,1310,20400,1200,1480,17,43,,9.9,1870,,1490,2280,GEA_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,DUT,18 mois après le diplôme,hommes,Sciences. technologies et santé>Sciences de l'ingénieur>Génie civil,STS,Sciences. technologies et santé,disc15,Sciences de l'ingénieur,GC,Génie civil,70,86,69,10,69,99,1560,24300,ns,ns,36,20,,9.9,1870,,1490,2280,GC_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,DUT,30 mois après le diplôme,femmes,Sciences. technologies et santé>Sciences de l'ingénieur>Génie civil,STS,Sciences. technologies et santé,disc15,Sciences de l'ingénieur,GC,Génie civil,13,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,,9.9,1870,,1490,2280,GC_30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,DUT,30 mois après le diplôme,femmes et hommes,Sciences. technologies et santé>Sciences de l'ingénieur>Génie mécanique et productique,STS,Sciences. technologies et santé,disc15,Sciences de l'ingénieur,GMP,Génie mécanique et productique,98,91,72,7,78,97,1620,25200,1440,1980,37,34,13,9.9,1870,,1490,2280,GMP_30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,DUT,18 mois après le diplôme,femmes et hommes,Sciences. technologies et santé>Sciences de l'ingénieur>Sciences et génie des matériaux,STS,Sciences. technologies et santé,disc15,Sciences de l'ingénieur,SGM,Sciences et génie des matériaux,9,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,9.9,1870,,1490,2280,SGM_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,DUT,30 mois après le diplôme,hommes,Sciences. technologies et santé>Sciences de l'ingénieur>Qualité. logistique industrielle et organisation,STS,Sciences. technologies et santé,disc15,Sciences de l'ingénieur,QLIO,Qualité. logistique industrielle et organisation,42,84,69,9,81,100,1730,27000,ns,ns,25,21,,9.9,1870,,1490,2280,QLIO_30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,DUT,30 mois après le diplôme,femmes,Sciences. technologies et santé>Sciences de l'ingénieur>Génie industriel et maintenance,STS,Sciences. technologies et santé,disc15,Sciences de l'ingénieur,GIM,Génie industriel et maintenance,0,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,,9.9,1870,,1490,2280,GIM_30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,DUT,30 mois après le diplôme,femmes,Sciences. technologies et santé>Sciences de l'ingénieur>Génie thermique et énergie,STS,Sciences. technologies et santé,disc15,Sciences de l'ingénieur,GTE,Génie thermique et énergie,0,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,,9.9,1870,,1490,2280,GTE_30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,DUT,30 mois après le diplôme,hommes,Droit. économie et gestion>Gestion>Techniques de commercialisation,DEG,Droit. économie et gestion,disc04,Gestion,TC,Techniques de commercialisation,162,91,42,10,73,94,1560,24300,1300,1920,33,30,,9.9,1870,,1490,2280,TC_30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,DUT,30 mois après le diplôme,hommes,Sciences. technologies et santé>Sciences fondamentales>Mesures physiques,STS,Sciences. technologies et santé,disc14,Sciences fondamentales,MP,Mesures physiques,47,88,82,,69,97,1570,24400,ns,ns,30,20,,9.9,1870,,1490,2280,MP_30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,DUT,30 mois après le diplôme,femmes et hommes,Droit. économie et gestion>Gestion>Sciences de gestion,DEG,Droit. économie et gestion,disc04,Gestion,disc04,Sciences de gestion,697,90,35,6,70,91,1440,22500,1250,1730,22,35,55,9.9,1870,SD39,1490,2280,disc04_30,3,4,63,,22,1,5,0,1,1,0,4,11,9,71,4,1,1,1,11,1,41,4,11,4,2,2,8,4,2,8,1,6,3,25,4,5,56
2013,DUT,18 mois après le diplôme,femmes et hommes,Ensemble des départements d'IUT>Ensemble des départements d'IUT>Ensemble des départements d'IUT,ALL,Ensemble des départements d'IUT,disc00,Ensemble des départements d'IUT,disc00,Ensemble des départements d'IUT,2054,81,54,7,62,89,1420,22200,1260,1660,28,35,44,9.9,1870,,1490,2280,disc00_18,3,4,57,,26,0,7,0,0,1,0,,,,,,,,,,,,,,,,,,,,,1,7,5,43,5,5,35
2013,DUT,18 mois après le diplôme,femmes,Sciences. technologies et santé>Ensemble sciences. technologies et santé>Ensemble sciences. technologies et santé,STS,Sciences. technologies et santé,disc12,Ensemble sciences. technologies et santé,disc12,Ensemble sciences. technologies et santé,261,85,82,6,57,92,1410,22000,1310,1600,31,37,,9.9,1870,,1490,2280,disc12_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,DUT,30 mois après le diplôme,femmes,Sciences. technologies et santé>Ensemble sciences. technologies et santé>Ensemble sciences. technologies et santé,STS,Sciences. technologies et santé,disc12,Ensemble sciences. technologies et santé,disc12,Ensemble sciences. technologies et santé,261,90,82,7,61,94,1480,23100,1350,1610,31,37,,9.9,1870,,1490,2280,disc12_30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,DUT,30 mois après le diplôme,femmes,Sciences humaines et sociales>Ensemble sciences humaines et sociales>Ensemble sciences humaines et sociales,SHS,Sciences humaines et sociales,disc07,Ensemble sciences humaines et sociales,disc07,Ensemble sciences humaines et sociales,230,86,43,10,52,77,1320,20700,1200,1500,32,46,,9.9,1870,,1490,2280,disc07_30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,DUT,18 mois après le diplôme,femmes et hommes,Sciences. technologies et santé>Sciences fondamentales>Chimie,STS,Sciences. technologies et santé,disc14,Sciences fondamentales,,Chimie,73,75,85,6,39,99,1480,23000,ns,ns,40,40,59,9.9,1870,,1490,2280,_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,DUT,30 mois après le diplôme,hommes,Sciences humaines et sociales>Information communication>Services et réseaux de communication,SHS,Sciences humaines et sociales,disc10,Information communication,,Services et réseaux de communication,64,80,61,21,83,89,1400,21800,ns,ns,30,36,,9.9,1870,,1490,2280,_30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
